13.03.2021 20:56:16.246 1 WARNING   ??????:  ?????? ?????????? (????????? ?????????: "(")
LINE 1: EXECUTE  ('NULL', 'Test')
                 ^
(42601) QPSQL: Unable to create query src\Database.cpp 79
13.03.2021 20:56:16.249 3 FATAL     Error adding row to authorization table src\Database.cpp 80
13.03.2021 20:58:52.695 0 DEBUG     HttpConnectionHandler (0x2639a02c220): handle new connection QtWebApp\httpserver\httpconnectionhandler.cpp 82
13.03.2021 20:58:52.696 0 DEBUG     HttpConnectionHandler (0x2639a02c220): read input QtWebApp\httpserver\httpconnectionhandler.cpp 155
13.03.2021 20:58:52.696 0 DEBUG     HttpRequest: read request QtWebApp\httpserver\httprequest.cpp 27
13.03.2021 20:58:52.696 0 DEBUG     HttpRequest: from 127.0.0.1: GET /sign-up HTTP/1.1 QtWebApp\httpserver\httprequest.cpp 44
13.03.2021 20:58:52.696 0 DEBUG     HttpRequest: received header host: localhost:8096 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:58:52.696 0 DEBUG     HttpRequest: received header user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:58:52.696 0 DEBUG     HttpRequest: received header accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:58:52.696 0 DEBUG     HttpRequest: received header accept-language: ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:58:52.696 0 DEBUG     HttpRequest: received header accept-encoding: gzip, deflate QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:58:52.696 0 DEBUG     HttpRequest: received header connection: keep-alive QtWebApp\httpserver\httprequest.cpp 85
